Date,Station_Index_Number,Maximum Temperature (°C),Minimum Temperature (°C),Rainfall (mm)
08.02.2022,Alappuzha (43352),34.3,24.7,1.2
08.02.2022,Kottayam (43355),35.6,24.5,0.0
08.02.2022,Kochi Airport (43353),31.2,25.2,0.0
08.02.2022,CIAL Kochi (43336),34.2,23.1,0.0
08.02.2022,Vellanikkara (43357),35.6,20.5,0.0
08.02.2022,Palakkad (43335),35.7,24.3,0.0
08.02.2022,Karipur Airport (43320),31.8,22.3,0.0
08.02.2022,Kozhikode City (43314),33.6,23.8,0.0
08.02.2022,Kannur (43315),35.1,23.2,0.0
08.02.2022,Agathi Airport (43266),29.6,25.6,0.0
08.02.2022,Amini (43311),32,24,0.0
08.02.2022,Minicoy (43369),31.8,24.8,0.0
07.02.2022,Thiruvananthapuram City (43371),33.2,22.8,0.0
07.02.2022,Thiruvananthapuram Airport (43372),32.3,21.9,0.0
07.02.2022,Punalur (43354),36.2,19.5,tr
07.02.2022,Alappuzha (43352),35.3,24.7,0.0
07.02.2022,Kottayam (43355),35,22.8,0.0
07.02.2022,Kochi Airport (43353),30,24.2,0.0
07.02.2022,CIAL Kochi (43336),32.8,22.7,0.0
07.02.2022,Vellanikkara (43357),33.4,22.4,0.0
07.02.2022,Palakkad (43335),35.4,24.7,0.0
07.02.2022,Karipur Airport (43320),32.1,21.8,0.0
07.02.2022,Kozhikode City (43314),33.4,24,0.0
07.02.2022,Kannur (43315),34,22.7,0.0
07.02.2022,Agathi Airport (43266),30.2,24.8,0.0
07.02.2022,Amini (43311),31.7,22.6,0.0
07.02.2022,Minicoy (43369),31.7,24,0.0
06.02.2022,Thiruvananthapuram City (43371),34,24,0
06.02.2022,Thiruvananthapuram Airport (43372),32,23,0
06.02.2022,Punalur (43354),36,19.5,0
06.02.2022,Alappuzha (43352),35.2,24.1,0
06.02.2022,Kottayam (43355),35.6,22.4,0
06.02.2022,Kochi Airport (43353),29.6,23.6,0
