Date,District,Thiruvananthapuram,Kollam,Pathanamthitta,Alappuzha,Kottayam,Ernakulam,Idukki,Thrissur,Palakkad,Malappuram,Kozhikode,Wayanad,Kannur,Kasaragode,Lakshadweep
V2,12-Feb,L to M,L to M,L to M,L to M,L to M,L to M,L to M,No rain,No rain,No rain,No rain,No rain,No rain,No rain,L.
V3,13-Feb,L to M,L to M,L to M,L to M,L to M,L to M,L to M,No rain,No rain,No rain,No rain,No rain,No rain,No rain,L.
V4,14-Feb,L.,L.,L.,L.,L.,L.,L.,No rain,No rain,No rain,No rain,No rain,No rain,No rain,L.
V5,15-Feb,L.,L.,L.,L.,L.,L.,L.,No rain,No rain,No rain,No rain,No rain,No rain,No rain,L.
V6,16-Feb,L.,L.,L.,L.,L.,L.,L.,No rain,No rain,No rain,No rain,No rain,No rain,No rain,L.
